Date,FTR,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W
2010-04-17,0,0.039792387543252594,0.023356401384083042,3,3,0,0,0,0,0,0,0,0,-0.003460207612456747,-0.032871972318339104,0.016435986159169552,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2010-04-17,0,0.03633217993079585,0.043252595155709346,8,9,0,0,0,0,0,0,0,0,-0.012975778546712802,0.006920415224913494,-0.006920415224913494,-0.0008650519031141854,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True
2010-04-17,0,0.03633217993079585,0.027681660899653977,4,8,0,0,1,0,0,0,0,0,-0.0017301038062283735,-0.019896193771626297,0.008650519031141867,-0.003460207612456747,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
2010-04-17,0,0.05061224489795918,0.059591836734693884,9,10,0,0,0,0,1,0,0,0,0.022040816326530613,0.04081632653061225,-0.008979591836734694,-0.0008163265306122429,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
2010-04-17,0,0.035102040816326535,0.026122448979591838,7,3,0,0,0,0,0,0,0,0,-0.003265306122448977,-0.02122448979591837,0.008979591836734694,0.003265306122448977,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
2010-04-17,1,0.031020408163265303,0.022040816326530613,7,3,0,0,0,0,0,0,1,0,-0.006530612244897958,-0.029387755102040815,0.008979591836734694,0.003265306122448977,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
2010-04-17,1,0.05224489795918367,0.06285714285714286,12,13,0,0,0,0,0,0,0,0,0.022857142857142857,0.044897959183673466,-0.010612244897959183,-0.0008163265306122429,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
2010-04-18,0,0.019591836734693877,0.04734693877551021,5,8,0,0,0,0,0,0,0,0,-0.026122448979591838,0.010612244897959183,-0.027755102040816326,-0.002448979591836734,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2010-04-18,1,0.026122448979591838,0.05795918367346938,4,10,0,0,0,0,0,0,0,0,-0.027755102040816326,0.03265306122448979,-0.03183673469387755,-0.004897959183673468,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
2010-04-19,1,0.045714285714285714,0.02530612244897959,8,4,0,0,0,0,0,0,1,0,0.017142857142857144,-0.013061224489795917,0.020408163265306124,0.003265306122448977,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
2010-04-21,0,0.022857142857142857,0.04734693877551021,4,8,0,0,0,0,0,0,0,0,-0.031020408163265303,0.010612244897959183,-0.024489795918367346,-0.003265306122448977,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2010-04-24,0,0.05795918367346938,0.05061224489795918,10,9,0,0,0,0,0,0,0,0,0.03265306122448979,0.022040816326530613,0.007346938775510204,0.0008163265306122429,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2010-04-24,0,0.026122448979591838,0.019591836734693877,3,5,0,0,0,0,0,0,0,0,-0.02122448979591837,-0.026122448979591838,0.006530612244897958,-0.0016326530612244886,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2010-04-24,0,0.021604938271604937,0.031635802469135804,4,7,0,0,0,0,0,0,0,0,-0.0308641975308642,-0.005401234567901233,-0.010030864197530864,-0.002314814814814814,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2010-04-24,1,0.05864197530864198,0.04938271604938271,10,9,0,0,0,0,0,0,0,0,0.03935185185185185,0.020061728395061727,0.009259259259259259,0.0007716049382716027,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2010-04-24,1,0.023919753086419755,0.02700617283950617,4,7,0,0,0,0,0,0,0,0,-0.014660493827160495,-0.02546296296296296,-0.0030864197530864196,-0.002314814814814814,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2010-04-24,0,0.026234567901234566,0.033179012345679014,6,8,0,0,0,0,0,0,0,0,-0.017746913580246913,-0.012345679012345678,-0.006944444444444444,-0.0015432098765432083,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
2010-04-25,1,0.0470679012345679,0.036265432098765434,10,3,0,0,0,0,0,0,0,0,0.011574074074074075,-0.006172839506172839,0.010802469135802469,0.005401234567901233,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2010-04-25,0,0.020833333333333332,0.04552469135802469,3,8,0,0,1,0,0,0,0,0,-0.02854938271604938,0.018518518518518517,-0.024691358024691357,-0.003858024691358025,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False
2010-04-25,1,0.05941358024691358,0.033179012345679014,12,7,1,0,0,0,0,0,0,0,0.041666666666666664,-0.008487654320987656,0.026234567901234566,0.003858024691358025,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
2010-04-25,1,0.041666666666666664,0.033179012345679014,9,5,0,0,0,0,0,0,0,0,0.006944444444444444,-0.002314814814814814,0.008487654320987656,0.0030864197530864196,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
2010-05-01,1,0.036265432098765434,0.020833333333333332,3,3,0,0,0,0,0,0,1,0,-0.006172839506172839,-0.02854938271604938,0.0154320987654321,0.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2010-05-01,1,0.04861111111111111,0.0470679012345679,10,10,1,0,0,0,0,0,0,0,0.020833333333333332,0.011574074074074075,0.0015432098765432083,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2010-05-01,1,0.018261504747991233,0.025566106647187732,3,4,0,0,0,0,0,0,0,0,-0.02410518626734843,-0.016800584368151936,-0.007304601899196494,-0.0007304601899196486,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2010-05-01,0,0.032140248356464576,0.04163623082542001,5,9,0,0,0,0,0,0,0,0,-0.008035062089116144,0.007304601899196494,-0.00949598246895544,-0.002921840759678597,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
2010-05-01,1,0.04894083272461651,0.02629656683710738,9,4,0,0,0,0,0,0,1,0,0.019722425127830533,-0.018261504747991233,0.02264426588750913,0.0036523009495982458,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
2010-05-02,1,0.03360116873630387,0.02483564645726808,8,7,0,0,0,0,0,0,0,0,-0.0014609203798392973,-0.01314828341855369,0.008765522279035792,0.0007304601899196486,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2010-05-02,0,0.04528853177501826,0.05843681519357195,11,12,0,0,0,0,1,0,0,0,0.020452885317750184,0.04455807158509862,-0.01314828341855369,-0.0007304601899196486,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2010-05-02,0,0.032140248356464576,0.0577063550036523,9,10,0,0,0,0,0,0,0,0,-0.004382761139517894,0.03871439006574142,-0.025566106647187732,-0.0007304601899196486,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
2010-05-03,1,0.032140248356464576,0.05259313367421476,6,5,0,0,0,0,0,0,0,0,-0.011687363038714389,0.02848794740686632,-0.020452885317750184,0.0007304601899196486,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2010-05-03,0,0.025566106647187732,0.020452885317750184,4,1,0,0,0,0,0,0,0,0,-0.02483564645726808,-0.029948867786705618,0.005113221329437546,0.002191380569758946,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
